Sample,Time(S),CH1(V),CH2(V)
0,-0.004,-0.0798874,-4.39381
1,-0.003999,-0.0639099,-4.36185
2,-0.003998,-0.0958648,-4.39381
3,-0.003997,-0.0639099,-4.39381
4,-0.003996,-0.0958648,-4.39381
5,-0.003995,-0.0798874,-4.37783
6,-0.003994,-0.0798874,-4.36185
7,-0.003993,-0.0958648,-4.37783
8,-0.003992,-0.0958648,-4.39381
9,-0.003991,-0.0798874,-4.39381
10,-0.00399,-0.0798874,-4.39381
11,-0.003989,-0.0798874,-4.37783
12,-0.003988,-0.0639099,-4.39381
13,-0.003987,-0.0798874,-4.39381
14,-0.003986,-0.0798874,-4.37783
15,-0.003985,-0.0798874,-4.36185
16,-0.003984,-0.0798874,-4.39381
17,-0.003983,-0.0798874,-4.39381
18,-0.003982,-0.0798874,-4.39381
19,-0.003981,-0.0798874,-4.39381
20,-0.00398,-0.0798874,-4.39381
21,-0.003979,-0.0798874,-4.39381
22,-0.003978,-0.0958648,-4.39381
23,-0.003977,-0.0639099,-4.39381
24,-0.003976,-0.0798874,-4.39381
25,-0.003975,-0.0798874,-4.39381
26,-0.003974,-0.0798874,-4.36185
27,-0.003973,-0.0798874,-4.37783
28,-0.003972,-0.0798874,-4.39381
29,-0.003971,-0.0798874,-4.39381
30,-0.00397,-0.0798874,-4.39381
31,-0.003969,-0.0798874,-4.39381
32,-0.003968,-0.0798874,-4.36185
33,-0.003967,-0.0639099,-4.37783
34,-0.003966,-0.0639099,-4.39381
35,-0.003965,-0.0958648,-4.39381
36,-0.003964,-0.0639099,-4.37783
37,-0.003963,-0.0798874,-4.37783
38,-0.003962,-0.0798874,-4.39381
39,-0.003961,-0.0798874,-4.36185
40,-0.00396,-0.0798874,-4.39381
41,-0.003959,-0.0798874,-4.39381
42,-0.003958,-0.0798874,-4.37783
43,-0.003957,-0.0639099,-4.37783
44,-0.003956,-0.0958648,-4.36185
45,-0.003955,-0.0798874,-4.39381
46,-0.003954,-0.0798874,-4.39381
47,-0.003953,-0.0798874,-4.39381
48,-0.003952,-0.0798874,-4.39381
49,-0.003951,-0.0798874,-4.36185
50,-0.00395,-0.0798874,-4.39381
51,-0.003949,-0.0958648,-4.39381
52,-0.003948,-0.0639099,-4.39381
53,-0.003947,-0.0798874,-4.37783
54,-0.003946,-0.0639099,-4.37783
55,-0.003945,-0.0798874,-4.37783
56,-0.003944,-0.0798874,-4.37783
57,-0.003943,-0.0798874,-4.37783
58,-0.003942,-0.0798874,-4.37783
59,-0.003941,-0.0798874,-4.37783
60,-0.00394,-0.0798874,-4.39381
61,-0.003939,-0.0798874,-4.39381
62,-0.003938,-0.0798874,-4.37783
63,-0.003937,-0.0639099,-4.37783
64,-0.003936,-0.0798874,-4.37783
65,-0.003935,-0.0798874,-4.39381
66,-0.003934,-0.0798874,-4.37783
67,-0.003933,-0.0798874,-4.37783
68,-0.003932,-0.0798874,-4.37783
69,-0.003931,-0.0798874,-4.36185
70,-0.00393,-0.0958648,-4.39381
71,-0.003929,-0.0798874,-4.39381
72,-0.003928,-0.0798874,-4.37783
73,-0.003927,-0.0798874,-4.37783
74,-0.003926,-0.0958648,-4.37783
75,-0.003925,-0.0639099,-4.37783
76,-0.003924,-0.0798874,-4.39381
77,-0.003923,-0.0798874,-4.36185
78,-0.003922,-0.0798874,-4.39381
79,-0.003921,-0.0639099,-4.37783
80,-0.00392,-0.0798874,-4.37783
81,-0.003919,-0.0798874,-4.36185
82,-0.003918,-0.0798874,-4.39381
83,-0.003917,-0.0798874,-4.39381
84,-0.003916,-0.0639099,-4.37783
85,-0.003915,-0.0798874,-4.37783
86,-0.003914,-0.0798874,-4.36185
87,-0.003913,-0.0798874,-4.39381
88,-0.003912,-0.0798874,-4.37783
89,-0.003911,-0.0798874,-4.37783
90,-0.00391,-0.0798874,-4.39381
91,-0.003909,-0.0798874,-4.37783
92,-0.003908,-0.0798874,-4.37783
93,-0.003907,-0.0798874,-4.36185
94,-0.003906,-0.0798874,-4.39381
95,-0.003905,-0.0639099,-4.39381
96,-0.003904,-0.0798874,-4.37783
97,-0.003903,-0.0798874,-4.37783
98,-0.003902,-0.0639099,-4.37783
99,-0.003901,-0.0639099,-4.39381
100,-0.0039,-0.0798874,-4.39381
101,-0.003899,-0.0798874,-4.39381
102,-0.003898,-0.0639099,-4.36185
103,-0.003897,-0.0958648,-4.39381
104,-0.003896,-0.0639099,-4.39381
105,-0.003895,-0.0798874,-4.39381
106,-0.003894,-0.0958648,-4.39381
107,-0.003893,-0.0639099,-4.39381
108,-0.003892,-0.0798874,-4.39381
109,-0.003891,-0.0798874,-4.39381
110,-0.00389,-0.0798874,-4.39381
111,-0.003889,-0.0798874,-4.39381
112,-0.003888,-0.0798874,-4.39381
113,-0.003887,-0.0798874,-4.39381
114,-0.003886,-0.0798874,-4.39381
115,-0.003885,-0.0798874,-4.39381
116,-0.003884,-0.0798874,-4.39381
117,-0.003883,-0.0798874,-4.39381
118,-0.003882,-0.0798874,-4.39381
119,-0.003881,-0.0639099,-4.39381
120,-0.00388,-0.0958648,-4.40978
121,-0.003879,-0.0798874,-4.40978
