Sample,Frequency(Hz),Magnitude(dB),Phase(Degrees)
0,10,33.942,179.657
1,10.6326,33.9426,179.62
2,11.3052,33.9515,179.535
3,12.0203,33.9513,179.488
4,12.7807,33.9554,179.563
5,13.5891,33.9658,179.391
6,14.4487,33.9572,179.345
7,15.3627,33.9608,179.38
8,16.3345,33.9634,179.234
9,17.3678,33.9533,179.309
10,18.4665,33.9692,179.219
11,19.6346,33.9669,179.211
12,20.8766,33.9726,179.196
13,22.1972,33.9772,179.052
14,23.6013,33.9746,179.031
15,25.0943,33.972,178.973
16,26.6817,33.971,178.804
17,28.3695,33.9841,178.722
18,30.1641,33.9914,178.761
19,32.0722,33.9853,178.718
20,34.101,33.9934,178.567
21,36.2581,33.9795,178.438
22,38.5517,33.9961,178.378
23,40.9904,33.9957,178.408
24,43.5833,34.0062,178.203
25,46.3403,34.0088,177.955
26,49.2716,33.993,177.947
27,52.3884,33.9883,177.733
28,55.7024,33.9904,177.542
29,59.2259,34.0006,177.516
30,62.9724,33.9766,177.387
31,66.9559,34.0204,177.078
32,71.1913,34.0006,177.098
33,75.6947,33.9822,176.738
34,80.4829,33.997,176.621
35,85.574,33.9926,176.446
36,90.9872,33.9671,176.026
37,96.7428,33.9913,175.807
38,102.862,33.987,175.667
39,109.369,33.9741,175.314
40,116.288,34.0025,174.955
41,123.644,33.9759,174.575
42,131.465,33.9682,174.506
43,139.781,33.9805,174.111
44,148.623,33.9854,173.647
45,158.025,33.9904,173.278
46,168.021,33.9427,172.718
47,178.65,33.9124,172.367
48,189.95,33.954,171.835
49,201.966,33.9275,171.555
50,214.742,33.9428,170.807
51,228.326,33.9606,170.08
52,242.769,33.8925,169.781
53,258.126,33.8617,169.09
54,274.455,33.8072,168.564
55,291.816,33.8677,167.551
56,310.275,33.8301,166.757
57,329.902,33.8614,165.773
58,350.771,33.7827,165.44
59,372.96,33.8301,164.504
60,396.552,33.7804,163.744
61,421.637,33.6507,162.219
62,448.309,33.7036,161.801
63,476.667,33.6939,160.798
64,506.82,33.4878,158.902
65,538.88,33.3893,158.16
66,572.968,33.26,157.126
67,609.213,33.1684,155.631
68,647.75,33.1292,154.04
69,688.725,33.0517,152.828
70,732.291,32.9136,151.992
71,778.614,32.7697,149.678
72,827.867,32.7364,148.336
73,880.236,32.5786,146.83
74,935.917,32.4662,144.718
75,995.12,32.1808,143.392
76,1058.07,31.9666,142.108
77,1125,31.7379,140.059
