t °C,T K,Uinc (µV),Udec (µV),Ucorr(µV),T^4-T^4_0 (K^4),εT (W/m^2)
50 ,323.15,1.8 ,— ,1.2 ,3.72 x 10^9 ,5.66 
75 ,348.15 ,3.3 ,— ,2.7 ,7.51 x 10^9 ,12.7 
100 ,373.15 ,10.2 ,31.2 ,20.1 ,1.22 x 10^10 ,94.8 
125 ,398.15 ,21.2 ,54.8 ,37.4 ,1.79 x 10^10 ,176.4 
150 ,423.15 ,48.8 ,102 ,74.8 ,2.49 x 10^10 ,352.8 
175 ,448.15 ,103.6 ,165 ,133.7 ,3.32 x 10^10 ,630.7 
200 ,473.15 ,199.6 ,271 ,234.7 ,4.29 x 10^10 ,1107.1 
225 ,498.15 ,348.5 ,447 ,397.15 ,5.44 x 10^10 ,1873.3 
250 ,523.15 ,565 ,681 ,622.4 ,6.77 x 10^10 ,2935.8 
275 ,548.15 ,866 ,944 ,904.4 ,8.31 x 10^10 ,4266 
283 ,556.15 ,1015 ,1015 ,1014.4 ,8.85 x 10^10 ,4784.9 
300 ,573.15 ,1342 ,1342 ,1341.2 ,9.97 x 10^10 ,6068.3
325 ,598.15 ,1803 ,1803 ,1802.2 ,1.16 x 10^11 ,8154.6
350 ,623.15 ,2324 ,2324 ,2323.4 ,1.34 x 10^11 ,10506.6
375 ,648.15 ,2908 ,2908 ,2907.2 ,1.53 x 10^11 ,13203.3
400 ,673.15 ,3558 ,3558 ,3557.4 ,1.73 x 10^11 ,16329.6
425 ,698.15 ,4278 ,4278 ,4277.6 ,1.94 x 10^11 ,19871.2
450 ,723.15 ,5071 ,5071 ,5070.2 ,2.16 x 10^11 ,23814.1
475 ,748.15 ,5939 ,5939 ,5938.4 ,2.39 x 10^11 ,28144.3
500 ,773.15 ,6885 ,6885 ,6884.6 ,2.63 x 10^11 ,32867.1
525 ,798.15 ,7911 ,7911 ,7910.4 ,2.88 x 10^11 ,37978.3
