#,α (µm reading) ,Fringe shift N ,Δh (m) ,Pressure p (Pa) ,n_exp ,Theoretical n values 
1 ,25.1 ,5.25 ,0.16 ,"102,889.6 ",1.000269396 ,1.000273469 
2 ,25.25 ,5.4 ,0.15 ,"102,791.5 ",1.000269398 ,1.000273209 
3 ,25.3 ,5.45 ,0.14 ,"102,693.5 ",1.000269399 ,1.000272948 
4 ,25.33 ,5.48 ,0.13 ,"102,595.3 ",1.0002694 ,1.000272687 
5 ,25.37 ,5.52 ,0.12 ,"102,497.2 ",1.000269401 ,1.000272426 
6 ,25.45 ,5.6 ,0.11 ,"102,399.1 ",1.000269402 ,1.000272166 
7 ,25.51 ,5.66 ,0.10 ,"102,301 ",1.000269403 ,1.000271905 
8 ,25.56 ,5.71 ,0.09 ,"102,202.9 ",1.000269404 ,1.000271644 
9 ,25.63 ,5.78 ,0.08 ,"102,104.8 ",1.000269405 ,1.000271383 
10 ,25.69 ,5.84 ,0.07 ,"102,006.7 ",1.000269407 ,1.000271123 
