
Sample,Time(S),CH1(V),OutPut Voltage(V)
0,-0.00798,0.183741,-0.952112
1,-0.00797,0.26726,0.200445
2,-0.00796,0.317371,1.31959
3,-0.00795,0.367482,2.47215
4,-0.00794,0.417593,3.608
5,-0.00793,0.484408,4.4766
6,-0.00792,0.534519,4.4766
7,-0.00791,0.601334,4.45989
8,-0.0079,0.618038,4.44319
9,-0.00789,0.651445,4.40978
10,-0.00788,0.734964,4.40978
11,-0.00787,0.734964,4.39308
12,-0.00786,0.768371,4.39308
13,-0.00785,0.801779,4.39308
14,-0.00784,0.835186,4.37638
15,-0.00783,0.835186,4.37638
16,-0.00782,0.85189,4.37638
17,-0.00781,0.85189,4.37638
18,-0.0078,0.885297,4.37638
19,-0.00779,0.885297,4.37638
20,-0.00778,0.885297,4.37638
21,-0.00777,0.885297,4.37638
22,-0.00776,0.885297,4.37638
23,-0.00775,0.885297,4.37638
24,-0.00774,0.868594,4.37638
25,-0.00773,0.835186,4.37638
26,-0.00772,0.835186,4.37638
27,-0.00771,0.835186,4.37638
28,-0.0077,0.801779,4.37638
29,-0.00769,0.768371,4.37638
30,-0.00768,0.768371,4.37638
31,-0.00767,0.71826,4.37638
32,-0.00766,0.668149,4.37638
33,-0.00765,0.634741,4.37638
34,-0.00764,0.601334,4.37638
35,-0.00763,0.551223,4.37638
36,-0.00762,0.517815,4.37638
37,-0.00761,0.434297,4.37638
38,-0.0076,0.384186,4.39308
39,-0.00759,0.317371,4.35967
40,-0.00758,0.283963,4.37638
41,-0.00757,0.217148,4.37638
42,-0.00756,0.150333,4.37638
43,-0.00755,0.100222,4.37638
44,-0.00754,0.0334074,4.37638
45,-0.00753,-0.0501112,4.37638
46,-0.00752,-0.116926,4.37638
47,-0.00751,-0.150333,3.70823
48,-0.0075,-0.233852,2.27171
49,-0.00749,-0.300667,0.785075
50,-0.00748,-0.350778,-0.684853
51,-0.00747,-0.384186,-2.13808
52,-0.00746,-0.451,-3.64141
53,-0.00745,-0.517815,-4.52671
54,-0.00744,-0.58463,-4.54341
55,-0.00743,-0.634741,-4.52671
56,-0.00742,-0.668149,-4.51
57,-0.00741,-0.751667,-4.4933
58,-0.0074,-0.768371,-4.4766
59,-0.00739,-0.835186,-4.42649
60,-0.00738,-0.85189,-4.42649
61,-0.00737,-0.885297,-4.42649
62,-0.00736,-0.918705,-4.42649
63,-0.00735,-0.935408,-4.39308
64,-0.00734,-0.98552,-4.40978
65,-0.00733,-1.01893,-4.40978
66,-0.00732,-1.01893,-4.40978
67,-0.00731,-1.03563,-4.40978
68,-0.0073,-1.05233,-4.40978
69,-0.00729,-1.05233,-4.40978
70,-0.00728,-1.05233,-4.40978
71,-0.00727,-1.05233,-4.40978
72,-0.00726,-1.05233,-4.40978
73,-0.00725,-1.05233,-4.40978
74,-0.00724,-1.01893,-4.40978
75,-0.00723,-1.01893,-4.40978
76,-0.00722,-1.01893,-4.40978
77,-0.00721,-0.98552,-4.40978
78,-0.0072,-0.935408,-4.40978
79,-0.00719,-0.935408,-4.40978
80,-0.00718,-0.885297,-4.40978
81,-0.00717,-0.85189,-4.40978
82,-0.00716,-0.818482,-4.42649
83,-0.00715,-0.785075,-4.42649
84,-0.00714,-0.751667,-4.40978
85,-0.00713,-0.701556,-4.45989
86,-0.00712,-0.634741,-4.45989
87,-0.00711,-0.601334,-4.45989
88,-0.0071,-0.534519,-4.45989
89,-0.00709,-0.467704,-4.45989
90,-0.00708,-0.400889,-4.45989
91,-0.00707,-0.367482,-4.45989
92,-0.00706,-0.300667,-4.45989
93,-0.00705,-0.233852,-4.45989
94,-0.00704,-0.167037,-4.45989
95,-0.00703,-0.116926,-4.45989
96,-0.00702,-0.0668149,-4.45989
97,-0.00701,0.0167037,-4.32626
98,-0.007,0.0668149,-3.25723
99,-0.00699,0.13363,-2.12137
100,-0.00698,0.183741,-0.952112
101,-0.00697,0.26726,0.200445
102,-0.00696,0.317371,1.31959
103,-0.00695,0.367482,2.47215
104,-0.00694,0.417593,3.62471
105,-0.00693,0.484408,4.4766
106,-0.00692,0.534519,4.45989
107,-0.00691,0.601334,4.45989
108,-0.0069,0.618038,4.40978
109,-0.00689,0.668149,4.40978
110,-0.00688,0.71826,4.40978
111,-0.00687,0.734964,4.37638
112,-0.00686,0.768371,4.39308
113,-0.00685,0.801779,4.39308
114,-0.00684,0.835186,4.35967
115,-0.00683,0.835186,4.37638
116,-0.00682,0.85189,4.37638
117,-0.00681,0.85189,4.35967
118,-0.0068,0.885297,4.39308
119,-0.00679,0.868594,4.37638
120,-0.00678,0.902001,4.37638
121,-0.00677,0.868594,4.37638
122,-0.00676,0.885297,4.37638
123,-0.00675,0.885297,4.37638
124,-0.00674,0.868594,4.37638
125,-0.00673,0.835186,4.34297
126,-0.00672,0.85189,4.37638
127,-0.00671,0.818482,4.37638
128,-0.0067,0.801779,4.37638
129,-0.00669,0.768371,4.37638
130,-0.00668,0.768371,4.37638
131,-0.00667,0.71826,4.37638
132,-0.00666,0.668149,4.37638
133,-0.00665,0.634741,4.37638
134,-0.00664,0.601334,4.37638
135,-0.00663,0.551223,4.37638
136,-0.00662,0.501112,4.37638
137,-0.00661,0.451,4.39308
138,-0.0066,0.384186,4.35967
139,-0.00659,0.334074,4.37638
140,-0.00658,0.26726,4.37638
141,-0.00657,0.217148,4.37638
142,-0.00656,0.150333,4.37638
143,-0.00655,0.100222,4.37638
144,-0.00654,0.0334074,4.37638
145,-0.00653,-0.0501112,4.35967
146,-0.00652,-0.100222,4.39308
147,-0.00651,-0.167037,3.70823
148,-0.0065,-0.217148,2.27171
149,-0.00649,-0.300667,0.785075
150,-0.00648,-0.350778,-0.668149
151,-0.00647,-0.384186,-2.13808
152,-0.00646,-0.451,-3.64141
153,-0.00645,-0.517815,-4.54341
154,-0.00644,-0.58463,-4.54341
155,-0.00643,-0.634741,-4.52671
156,-0.00642,-0.668149,-4.51
157,-0.00641,-0.751667,-4.4933
158,-0.0064,-0.768371,-4.45989
159,-0.00639,-0.835186,-4.45989
160,-0.00638,-0.85189,-4.42649
161,-0.00637,-0.885297,-4.42649
162,-0.00636,-0.918705,-4.40978
163,-0.00635,-0.935408,-4.40978
164,-0.00634,-0.98552,-4.40978
165,-0.00633,-1.00222,-4.40978
166,-0.00632,-1.03563,-4.40978
167,-0.00631,-1.03563,-4.40978
168,-0.0063,-1.05233,-4.40978
169,-0.00629,-1.05233,-4.40978
170,-0.00628,-1.05233,-4.40978
171,-0.00627,-1.05233,-4.40978
172,-0.00626,-1.05233,-4.40978
173,-0.00625,-1.05233,-4.40978
174,-0.00624,-1.01893,-4.40978
175,-0.00623,-1.01893,-4.40978
176,-0.00622,-1.00222,-4.40978
177,-0.00621,-1.00222,-4.40978
178,-0.0062,-0.968816,-4.40978
179,-0.00619,-0.918705,-4.40978
180,-0.00618,-0.885297,-4.40978
181,-0.00617,-0.85189,-4.39308
182,-0.00616,-0.818482,-4.40978
183,-0.00615,-0.785075,-4.42649
184,-0.00614,-0.751667,-4.40978
185,-0.00613,-0.701556,-4.45989
186,-0.00612,-0.634741,-4.45989
187,-0.00611,-0.601334,-4.45989
188,-0.0061,-0.534519,-4.45989
189,-0.00609,-0.467704,-4.40978
190,-0.00608,-0.400889,-4.42649
191,-0.00607,-0.350778,-4.45989
192,-0.00606,-0.283963,-4.45989
193,-0.00605,-0.233852,-4.45989
194,-0.00604,-0.167037,-4.45989
195,-0.00603,-0.100222,-4.45989
196,-0.00602,-0.0668149,-4.45989
197,-0.00601,0,-4.32626
198,-0.006,0.0668149,-3.25723
199,-0.00599,0.13363,-2.10467
200,-0.00598,0.183741,-0.952112
201,-0.00597,0.26726,0.183741
202,-0.00596,0.317371,1.3363
203,-0.00595,0.367482,2.48885
204,-0.00594,0.417593,3.608
205,-0.00593,0.501112,4.4766
206,-0.00592,0.534519,4.4766
207,-0.00591,0.601334,4.45989
208,-0.0059,0.618038,4.44319
209,-0.00589,0.684853,4.40978
210,-0.00588,0.71826,4.40978
211,-0.00587,0.751667,4.39308
212,-0.00586,0.768371,4.39308
213,-0.00585,0.801779,4.39308
214,-0.00584,0.835186,4.37638
215,-0.00583,0.835186,4.37638
216,-0.00582,0.85189,4.37638
217,-0.00581,0.85189,4.37638
218,-0.0058,0.885297,4.37638
219,-0.00579,0.885297,4.37638
220,-0.00578,0.885297,4.37638
221,-0.00577,0.885297,4.37638
222,-0.00576,0.885297,4.37638
223,-0.00575,0.885297,4.37638
224,-0.00574,0.868594,4.37638
225,-0.00573,0.835186,4.35967
226,-0.00572,0.835186,4.37638
227,-0.00571,0.835186,4.37638
228,-0.0057,0.801779,4.37638
229,-0.00569,0.768371,4.37638
230,-0.00568,0.768371,4.37638
231,-0.00567,0.71826,4.37638
232,-0.00566,0.668149,4.37638
233,-0.00565,0.634741,4.37638
234,-0.00564,0.601334,4.37638
235,-0.00563,0.551223,4.37638
236,-0.00562,0.517815,4.37638
237,-0.00561,0.434297,4.37638
238,-0.0056,0.384186,4.39308
239,-0.00559,0.334074,4.35967
240,-0.00558,0.26726,4.37638
241,-0.00557,0.217148,4.37638
242,-0.00556,0.150333,4.37638
243,-0.00555,0.100222,4.37638
244,-0.00554,0.0334074,4.37638
245,-0.00553,-0.0501112,4.37638
246,-0.00552,-0.116926,4.37638
247,-0.00551,-0.150333,3.70823
248,-0.0055,-0.217148,2.27171
249,-0.00549,-0.300667,0.785075
250,-0.00548,-0.350778,-0.668149
251,-0.00547,-0.384186,-2.15478
252,-0.00546,-0.451,-3.62471
253,-0.00545,-0.517815,-4.54341
254,-0.00544,-0.58463,-4.54341
255,-0.00543,-0.618038,-4.52671
256,-0.00542,-0.668149,-4.51
257,-0.00541,-0.751667,-4.4933
258,-0.0054,-0.768371,-4.45989
259,-0.00539,-0.818482,-4.45989
260,-0.00538,-0.85189,-4.40978
261,-0.00537,-0.885297,-4.42649
262,-0.00536,-0.918705,-4.39308
263,-0.00535,-0.935408,-4.40978
264,-0.00534,-0.98552,-4.40978
265,-0.00533,-1.01893,-4.40978
266,-0.00532,-1.01893,-4.40978
267,-0.00531,-1.03563,-4.40978
268,-0.0053,-1.05233,-4.40978
269,-0.00529,-1.03563,-4.40978
270,-0.00528,-1.06904,-4.40978
271,-0.00527,-1.06904,-4.40978
272,-0.00526,-1.03563,-4.40978
273,-0.00525,-1.05233,-4.40978
274,-0.00524,-1.01893,-4.40978
275,-0.00523,-1.01893,-4.40978
276,-0.00522,-1.00222,-4.40978
277,-0.00521,-1.00222,-4.40978
278,-0.0052,-0.935408,-4.40978
279,-0.00519,-0.935408,-4.40978
280,-0.00518,-0.885297,-4.40978
281,-0.00517,-0.85189,-4.40978
282,-0.00516,-0.818482,-4.40978
283,-0.00515,-0.785075,-4.42649
284,-0.00514,-0.751667,-4.40978
285,-0.00513,-0.701556,-4.45989
286,-0.00512,-0.634741,-4.45989
287,-0.00511,-0.58463,-4.45989
288,-0.0051,-0.534519,-4.45989
289,-0.00509,-0.467704,-4.40978
290,-0.00508,-0.400889,-4.42649
291,-0.00507,-0.350778,-4.45989
292,-0.00506,-0.283963,-4.42649
293,-0.00505,-0.233852,-4.45989
294,-0.00504,-0.167037,-4.45989
295,-0.00503,-0.100222,-4.45989
296,-0.00502,-0.0668149,-4.45989
297,-0.00501,0,-4.32626
298,-0.005,0.0668149,-3.25723
299,-0.00499,0.13363,-2.10467
300,-0.00498,0.183741,-0.952112
301,-0.00497,0.26726,0.183741
302,-0.00496,0.317371,1.3363
303,-0.00495,0.367482,2.48885
304,-0.00494,0.417593,3.608
305,-0.00493,0.484408,4.4766
306,-0.00492,0.534519,4.4766
307,-0.00491,0.601334,4.45989
308,-0.0049,0.618038,4.44319
309,-0.00489,0.668149,4.40978
310,-0.00488,0.71826,4.40978
311,-0.00487,0.751667,4.39308
312,-0.00486,0.768371,4.39308
313,-0.00485,0.801779,4.39308
314,-0.00484,0.835186,4.39308
315,-0.00483,0.835186,4.39308
316,-0.00482,0.85189,4.35967
317,-0.00481,0.85189,4.37638
318,-0.0048,0.885297,4.37638
319,-0.00479,0.885297,4.37638
320,-0.00478,0.885297,4.37638
321,-0.00477,0.885297,4.37638
322,-0.00476,0.885297,4.37638
323,-0.00475,0.885297,4.37638
324,-0.00474,0.868594,4.37638
325,-0.00473,0.85189,4.37638
326,-0.00472,0.835186,4.37638
327,-0.00471,0.818482,4.37638
328,-0.0047,0.801779,4.37638
329,-0.00469,0.768371,4.37638
330,-0.00468,0.751667,4.37638
331,-0.00467,0.71826,4.37638
332,-0.00466,0.668149,4.37638
333,-0.00465,0.634741,4.37638
334,-0.00464,0.601334,4.37638
335,-0.00463,0.551223,4.37638
336,-0.00462,0.501112,4.37638
337,-0.00461,0.451,4.37638
338,-0.0046,0.384186,4.37638
339,-0.00459,0.317371,4.37638
340,-0.00458,0.283963,4.37638
341,-0.00457,0.217148,4.37638
342,-0.00456,0.150333,4.37638
343,-0.00455,0.100222,4.37638
344,-0.00454,0.0334074,4.37638
345,-0.00453,-0.0501112,4.35967
346,-0.00452,-0.116926,4.39308
347,-0.00451,-0.150333,3.70823
348,-0.0045,-0.233852,2.27171
349,-0.00449,-0.300667,0.785075
350,-0.00448,-0.350778,-0.668149
351,-0.00447,-0.384186,-2.13808
352,-0.00446,-0.451,-3.64141
353,-0.00445,-0.517815,-4.54341
354,-0.00444,-0.58463,-4.54341
355,-0.00443,-0.634741,-4.52671
356,-0.00442,-0.668149,-4.51
357,-0.00441,-0.751667,-4.4933
358,-0.0044,-0.768371,-4.45989
359,-0.00439,-0.835186,-4.45989
360,-0.00438,-0.85189,-4.40978
361,-0.00437,-0.885297,-4.42649
362,-0.00436,-0.918705,-4.40978
363,-0.00435,-0.935408,-4.40978
364,-0.00434,-0.98552,-4.40978
365,-0.00433,-1.00222,-4.40978
366,-0.00432,-1.03563,-4.40978
367,-0.00431,-1.01893,-4.40978
368,-0.0043,-1.05233,-4.40978
369,-0.00429,-1.03563,-4.40978
370,-0.00428,-1.06904,-4.40978
371,-0.00427,-1.06904,-4.40978
372,-0.00426,-1.03563,-4.40978
373,-0.00425,-1.05233,-4.40978
374,-0.00424,-1.01893,-4.40978
375,-0.00423,-1.01893,-4.40978
376,-0.00422,-1.00222,-4.40978
377,-0.00421,-1.00222,-4.40978
378,-0.0042,-0.935408,-4.40978
379,-0.00419,-0.935408,-4.40978
380,-0.00418,-0.885297,-4.39308
381,-0.00417,-0.85189,-4.40978
382,-0.00416,-0.818482,-4.42649
383,-0.00415,-0.801779,-4.42649
384,-0.00414,-0.734964,-4.40978
385,-0.00413,-0.701556,-4.45989
386,-0.00412,-0.634741,-4.45989
387,-0.00411,-0.58463,-4.45989
388,-0.0041,-0.534519,-4.45989
389,-0.00409,-0.451,-4.40978
390,-0.00408,-0.417593,-4.45989
391,-0.00407,-0.367482,-4.45989
392,-0.00406,-0.283963,-4.45989
393,-0.00405,-0.233852,-4.45989
394,-0.00404,-0.167037,-4.45989
395,-0.00403,-0.100222,-4.45989
396,-0.00402,-0.0668149,-4.4766
397,-0.00401,0,-4.32626
398,-0.004,0.0835186,-3.25723
399,-0.00399,0.116926,-2.10467
400,-0.00398,0.183741,-0.952112
401,-0.00397,0.26726,0.183741
402,-0.00396,0.317371,1.3363
403,-0.00395,0.367482,2.48885
404,-0.00394,0.417593,3.5913
405,-0.00393,0.484408,4.4933
