Sample,Time(S),CH1(V),CH2(V)
0,-0.00798,-0.0668149,-0.0334074
1,-0.00797,0.0334074,0.0501112
2,-0.00796,0.0668149,0.116926
3,-0.00795,0.13363,0.183741
4,-0.00794,0.200445,0.217148
5,-0.00793,0.26726,0.300667
6,-0.00792,0.317371,0.350778
7,-0.00791,0.367482,0.417593
8,-0.0079,0.417593,0.467704
9,-0.00789,0.484408,0.534519
10,-0.00788,0.551223,0.58463
11,-0.00787,0.58463,0.618038
12,-0.00786,0.634741,0.668149
13,-0.00785,0.668149,0.701556
14,-0.00784,0.71826,0.751667
15,-0.00783,0.751667,0.785075
16,-0.00782,0.785075,0.818482
17,-0.00781,0.818482,0.868594
18,-0.0078,0.835186,0.868594
19,-0.00779,0.868594,0.902001
20,-0.00778,0.885297,0.918705
21,-0.00777,0.885297,0.935408
22,-0.00776,0.918705,0.952112
23,-0.00775,0.918705,0.952112
24,-0.00774,0.918705,0.952112
25,-0.00773,0.918705,0.952112
26,-0.00772,0.918705,0.952112
27,-0.00771,0.918705,0.952112
28,-0.0077,0.902001,0.935408
29,-0.00769,0.885297,0.902001
30,-0.00768,0.868594,0.918705
31,-0.00767,0.85189,0.885297
32,-0.00766,0.818482,0.85189
33,-0.00765,0.785075,0.818482
34,-0.00764,0.751667,0.818482
35,-0.00763,0.71826,0.785075
36,-0.00762,0.668149,0.701556
37,-0.00761,0.634741,0.668149
38,-0.0076,0.601334,0.634741
39,-0.00759,0.567927,0.601334
40,-0.00758,0.484408,0.534519
41,-0.00757,0.434297,0.467704
42,-0.00756,0.367482,0.417593
43,-0.00755,0.334074,0.367482
44,-0.00754,0.283963,0.317371
45,-0.00753,0.217148,0.26726
46,-0.00752,0.150333,0.183741
47,-0.00751,0.0835186,0.13363
48,-0.0075,0.0501112,0.0668149
49,-0.00749,-0.0334074,0
50,-0.00748,-0.100222,-0.0501112
51,-0.00747,-0.167037,-0.116926
52,-0.00746,-0.200445,-0.183741
53,-0.00745,-0.283963,-0.217148
54,-0.00744,-0.350778,-0.300667
55,-0.00743,-0.384186,-0.367482
56,-0.00742,-0.451,-0.417593
57,-0.00741,-0.534519,-0.451
58,-0.0074,-0.58463,-0.534519
59,-0.00739,-0.618038,-0.58463
60,-0.00738,-0.668149,-0.651445
61,-0.00737,-0.751667,-0.684853
62,-0.00736,-0.768371,-0.71826
63,-0.00735,-0.835186,-0.801779
64,-0.00734,-0.85189,-0.801779
65,-0.00733,-0.885297,-0.835186
66,-0.00732,-0.935408,-0.868594
67,-0.00731,-0.935408,-0.902001
68,-0.0073,-1.00222,-0.935408
69,-0.00729,-1.00222,-0.968816
70,-0.00728,-1.03563,-0.968816
71,-0.00727,-1.05233,-1.01893
72,-0.00726,-1.06904,-1.01893
73,-0.00725,-1.06904,-1.03563
74,-0.00724,-1.06904,-1.03563
