Sample,Time(S),CH1(V),CH2(V)
0,-0.0016,-0.0798874,-3.86655
1,-0.001599,-0.0479324,-3.8985
2,-0.001598,-0.0479324,-3.93046
3,-0.001597,-0.0798874,-3.94644
4,-0.001596,-0.0479324,-3.97839
5,-0.001595,-0.0798874,-3.99437
6,-0.001594,-0.0479324,-4.0423
7,-0.001593,-0.0798874,-4.07426
8,-0.001592,-0.0479324,-4.09023
9,-0.001591,-0.0639099,-4.10621
10,-0.00159,-0.0639099,-4.12219
11,-0.001589,-0.0639099,-4.17012
12,-0.001588,-0.0639099,-4.17012
13,-0.001587,-0.0639099,-4.20208
14,-0.001586,-0.0639099,-4.23403
15,-0.001585,-0.0639099,-4.23403
16,-0.001584,-0.0639099,-4.28196
17,-0.001583,-0.0639099,-4.28196
18,-0.001582,-0.0639099,-4.3299
19,-0.001581,-0.0639099,-4.3299
20,-0.00158,-0.0639099,-4.36185
21,-0.001579,-0.0639099,-4.37783
22,-0.001578,-0.0639099,-4.36185
23,-0.001577,-0.0639099,-4.39381
24,-0.001576,-0.0639099,-4.40978
25,-0.001575,-0.0639099,-4.42576
26,-0.001574,-0.0639099,-4.42576
27,-0.001573,-0.0639099,-4.42576
28,-0.001572,-0.0639099,-4.39381
29,-0.001571,-0.0639099,-4.40978
30,-0.00157,-0.0479324,-4.40978
31,-0.001569,-0.0798874,-4.40978
32,-0.001568,-0.0479324,-4.40978
33,-0.001567,-0.0479324,-4.42576
34,-0.001566,-0.0639099,-4.42576
35,-0.001565,-0.0639099,-4.42576
36,-0.001564,-0.0639099,-4.42576
37,-0.001563,-0.0639099,-4.42576
38,-0.001562,-0.0639099,-4.40978
39,-0.001561,-0.0639099,-4.44174
40,-0.00156,-0.0639099,-4.44174
41,-0.001559,-0.0639099,-4.44174
42,-0.001558,-0.0798874,-4.44174
43,-0.001557,-0.0639099,-4.40978
44,-0.001556,-0.0639099,-4.44174
45,-0.001555,-0.0639099,-4.42576
46,-0.001554,-0.0798874,-4.44174
47,-0.001553,-0.0798874,-4.44174
48,-0.001552,-0.0798874,-4.44174
49,-0.001551,-0.0798874,-4.42576
50,-0.00155,-0.0798874,-4.42576
51,-0.001549,-0.0798874,-4.44174
52,-0.001548,-0.0798874,-4.44174
53,-0.001547,-0.0798874,-4.44174
54,-0.001546,-0.0798874,-4.42576
55,-0.001545,-0.0798874,-4.42576
56,-0.001544,-0.0798874,-4.42576
57,-0.001543,-0.0798874,-4.42576
58,-0.001542,-0.0798874,-4.44174
59,-0.001541,-0.0798874,-4.44174
60,-0.00154,-0.0798874,-4.44174
61,-0.001539,-0.0798874,-4.44174
62,-0.001538,-0.0639099,-4.44174
63,-0.001537,-0.0639099,-4.44174
64,-0.001536,-0.0798874,-4.44174
65,-0.001535,-0.0798874,-4.44174
66,-0.001534,-0.0798874,-4.44174
67,-0.001533,-0.0798874,-4.44174
68,-0.001532,-0.0798874,-4.44174
69,-0.001531,-0.0798874,-4.44174
70,-0.00153,-0.0798874,-4.44174
71,-0.001529,-0.0798874,-4.44174
72,-0.001528,-0.0798874,-4.44174
73,-0.001527,-0.0798874,-4.44174
74,-0.001526,-0.0798874,-4.44174
75,-0.001525,-0.0798874,-4.44174
76,-0.001524,-0.0798874,-4.42576
77,-0.001523,-0.0798874,-4.45772
78,-0.001522,-0.0798874,-4.44174
79,-0.001521,-0.0798874,-4.44174
80,-0.00152,-0.0798874,-4.44174
81,-0.001519,-0.0798874,-4.44174
82,-0.001518,-0.0798874,-4.44174
83,-0.001517,-0.0479324,-4.45772
84,-0.001516,-0.0798874,-4.45772
85,-0.001515,-0.0798874,-4.45772
86,-0.001514,-0.0798874,-4.45772
87,-0.001513,-0.0798874,-4.45772
88,-0.001512,-0.0798874,-4.45772
89,-0.001511,-0.0798874,-4.42576
90,-0.00151,-0.0798874,-4.39381
91,-0.001509,-0.0798874,-4.36185
92,-0.001508,-0.0798874,-4.3299
93,-0.001507,-0.0798874,-4.29794
94,-0.001506,-0.0798874,-4.28196
95,-0.001505,-0.0798874,-4.23403
96,-0.001504,-0.0798874,-4.23403
97,-0.001503,-0.0798874,-4.1861
98,-0.001502,-0.0639099,-4.1861
99,-0.001501,-0.0639099,-4.15414
100,-0.0015,-0.0798874,-4.12219
101,-0.001499,-0.0798874,-4.10621
102,-0.001498,-0.0639099,-4.09023
103,-0.001497,-0.0639099,-4.05828
104,-0.001496,-0.0798874,-4.0423
105,-0.001495,-0.0798874,-4.02632
106,-0.001494,-0.0798874,-3.97839
107,-0.001493,-0.0798874,-3.94644
108,-0.001492,-0.0798874,-3.93046
109,-0.001491,-0.0798874,-3.8985
110,-0.00149,-0.0798874,-3.88253
111,-0.001489,-0.0798874,-3.85057
112,-0.001488,-0.0798874,-3.81862
113,-0.001487,-0.0798874,-3.78666
